"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","NVIDIA","NVDA","4466833096704","183.16","United States"
"2","Microsoft","MSFT","3933930782720","529.24","United States"
"3","Apple","AAPL","3408097705984","229.65","United States"
"4","Alphabet (Google)","GOOG","2463639535616","204.16","United States"
"5","Amazon","AMZN","2361955450880","221.47","United States"
"6","Meta Platforms (Facebook)","META","1984590643200","790","United States"
"7","Saudi Aramco","2222.SR","1550625137383","6.41138","Saudi Arabia"
"8","Broadcom","AVGO","1471386484736","312.83","United States"
"9","TSMC","TSM","1267014959104","244.29","Taiwan"
"10","Tesla","TSLA","1099362336768","340.84","United States"
"11","Berkshire Hathaway","BRK-B","1014330163200","470.39","United States"
"12","Walmart","WMT","826931150848","103.62","United States"
"13","JPMorgan Chase","JPM","805264293888","292.85","United States"
"14","Oracle","ORCL","713049571328","253.86","United States"
"15","Tencent","TCEHY","653916504064","71.78","China"
"16","Visa","V","653592100864","336.74","United States"
"17","Eli Lilly","LLY","573221502976","639.43","United States"
"18","Netflix","NFLX","520653373440","1225.28","United States"
"19","Mastercard","MA","519065632768","574.18","United States"
"20","Exxon Mobil","XOM","452458708992","106.13","United States"
"21","Palantir","PLTR","443556397056","186.97","United States"
"22","Costco","COST","439596580864","991.25","United States"
"23","Johnson & Johnson","JNJ","416112967680","172.78","United States"
"24","Home Depot","HD","393991487488","396","United States"
"25","Procter & Gamble","PG","363278172160","155.09","United States"
"26","ICBC","1398.HK","362769751155","0.784723","China"
"27","Bank of America","BAC","351830114304","47.5","United States"
"28","AbbVie","ABBV","350909464576","198.64","United States"
"29","Samsung","005930.KS","342645586675","52.023","South Korea"
"30","SAP","SAP","338227363840","275.89","Germany"
"31","Agricultural Bank of China","601288.SS","323664444970","0.947154","China"
"32","Chevron","CVX","311168794624","154.44","United States"
"33","Coca-Cola","KO","304312483840","70.71","United States"
"34","General Electric","GE","296530837504","279.63","United States"
"35","Alibaba","BABA","291890888704","122.42","China"
"36","ASML","ASML","291671834624","741.79","Netherlands"
"37","T-Mobile US","TMUS","283920957440","252.28","United States"
"38","AMD","AMD","283915878400","174.95","United States"
"39","Cisco","CSCO","282664796160","71.38","United States"
"40","LVMH","MC.PA","270129763996","542.485","France"
"41","Prosus","PRX.AS","268929565103","61.5475","Netherlands"
"42","China Construction Bank","601939.SS","267283895296","1.30234","China"
"43","Philip Morris International","PM","262441074688","168.6","United States"
"44","Wells Fargo","WFC","254609424384","79.48","United States"
"45","Toyota","TM","252808871936","193.97","Japan"
"46","Hermès","RMS.PA","252535136513","2408.84","France"
"47","Kweichow Moutai","600519.SS","248470168595","197.795","China"
"48","China Mobile","0941.HK","247008554942","11.3122","China"
"49","Roche","ROG.SW","244423746612","304.887","Switzerland"
"50","L'Oréal","OR.PA","239250366574","447.464","France"
"51","International Holding Company","IHC.AE","239017703210","108.96","United Arab Emirates"
"52","UnitedHealth","UNH","236897157120","261.57","United States"
"53","Morgan Stanley","MS","235124899840","147.29","United States"
"54","AstraZeneca","AZN","233590145024","75.34","United Kingdom"
"55","Bank of China","601988.SS","233284482154","0.777224","China"
"56","Novartis","NVS","230966263808","119.31","Switzerland"
"57","Nestlé","NESN.SW","229317361773","89.1342","Switzerland"
"58","Abbott Laboratories","ABT","228035084288","131.02","United States"
"59","HSBC","HSBC","225780498432","64.97","United Kingdom"
"60","Goldman Sachs","GS","225036730368","743.38","United States"
"61","Linde","LIN","221902290944","473.23","United Kingdom"
"62","Novo Nordisk","NVO","221651402752","49.78","Denmark"
"63","Salesforce","CRM","221466968064","231.66","United States"
"64","PetroChina","0857.HK","219009414957","0.980904","China"
"65","IBM","IBM","218692714496","234.77","United States"
"66","McDonald","MCD","215251517440","301.64","United States"
"67","Reliance Industries","RELIANCE.NS","213920414840","15.8079","India"
"68","Blackstone Group","BX","213383987200","173.74","United States"
"69","Siemens","SIE.DE","213151110306","272.148","Germany"
"70","American Express","AXP","210998378496","303.21","United States"
"71","Shell","SHEL","210737364992","72.25","United Kingdom"
"72","RTX","RTX","208129589248","155.49","United States"
"73","Walt Disney","DIS","204460605440","113.72","United States"
"74","AT&T","T","203643092992","28.48","United States"
"75","Pepsico","PEP","201076785152","146.87","United States"
"76","Merck","MRK","200571731968","80.3","United States"
"77","Intuit","INTU","199023099904","713.48","United States"
"78","Shopify","SHOP","194169143296","149.3","Canada"
"79","Caterpillar","CAT","193345961984","412.71","United States"
"80","Uber","UBER","191295586304","91.73","United States"
"81","Royal Bank Of Canada","RY","190151589888","134.8","Canada"
"82","HDFC Bank","HDB","188835004416","73.83","India"
"83","Commonwealth Bank","CBA.AX","184726755534","110.483","Australia"
"84","Verizon","VZ","182355836928","43.25","United States"
"85","Thermo Fisher Scientific","TMO","180275740672","477.41","United States"
"86","BlackRock","BLK","179569082368","1159.61","United States"
"87","Charles Schwab","SCHW","179144065024","98.69","United States"
"88","GE Vernova","GEV","178970951680","657.44","United States"
"89","Arista Networks","ANET","177532895232","141.25","United States"
"90","ServiceNow","NOW","177102946304","853.43","United States"
"91","Booking Holdings (Booking.com)","BKNG","177007968256","5461.54","United States"
"92","CATL","300750.SZ","176403662964","38.109","China"
"93","Citigroup","C","176247767040","95.74","United States"
"94","Boeing","BA","175889924096","232.61","United States"
"95","Texas Instruments","TXN","175436169216","192.97","United States"
"96","Xiaomi","XIACF","174828290048","6.68","China"
"97","Deutsche Telekom","DTE.DE","173657110616","35.4371","Germany"
"98","Mitsubishi UFJ Financial","MUFG","171842535424","15.1","Japan"
"99","Intuitive Surgical","ISRG","171420106752","478.19","United States"
"100","S&P Global","SPGI","170681024512","559.06","United States"
"101","Airbus","AIR.PA","167735508668","213.043","Netherlands"
"102","QUALCOMM","QCOM","165874679808","153.73","United States"
"103","Allianz SE","ALV.DE","165467906385","429.172","Germany"
"104","PDD Holdings (Pinduoduo)","PDD","165289852928","116.43","China"
"105","Sony","SONY","162940420096","27.19","Japan"
"106","AppLovin","APP","157962747904","467","United States"
"107","CM Bank","3968.HK","155867870235","6.38225","China"
"108","Inditex","ITX.MC","154244914250","49.5208","Spain"
"109","Amgen","AMGN","153422397440","284.98","United States"
"110","Boston Scientific","BSX","152086822912","102.64","United States"
"111","Applied Materials","AMAT","151230742528","188.45","United States"
"112","Arm Holdings","ARM","150828040192","142.39","United Kingdom"
"113","Unilever","UL","149758394368","61.08","United Kingdom"
"114","Gilead Sciences","GILD","148922007552","120.02","United States"
"115","TJX Companies","TJX","148812546048","133.39","United States"
"116","Accenture","ACN","148158038016","237.87","Ireland"
"117","Nextera Energy","NEE","147980582912","71.86","United States"
"118","Danaher","DHR","147306217472","205.72","United States"
"119","Schneider Electric","SU.PA","145315988503","258.006","France"
"120","Stryker Corporation","SYK","143980642304","376.61","United States"
"121","Adobe","ADBE","143561998336","338.43","United States"
"122","Safran","SAF.PA","143513020835","342.8","France"
"123","SoftBank","9984.T","143229231709","100.547","Japan"
"124","Micron Technology","MU","142968848384","127.75","United States"
"125","Progressive","PGR","142472232960","243.04","United States"
"126","Spotify","SPOT","141853065216","689.35","Sweden"
"127","Eaton","ETN","141432684544","363.3","Ireland"
"128","Ping An Insurance","601318.SS","140839031711","8.16363","China"
"129","Pfizer","PFE","140148801536","24.65","United States"
"130","EssilorLuxottica","EL.PA","139595739710","302.712","France"
"131","Santander","SAN","139563565056","9.39","Spain"
"132","SK Hynix","000660.KS","138860212219","201.146","South Korea"
"133","Capital One","COF","138602512384","216.73","United States"
"134","China Life Insurance","601628.SS","138553715415","5.6286","China"
"135","Honeywell","HON","137779003392","217.01","United States"
"136","Lowe's Companies","LOW","137234456576","244.87","United States"
"137","BHP Group","BHP","137119481856","54.04","Australia"
"138","Deere &amp; Company (John Deere)","DE","136997847040","505.85","United States"
"139","Amphenol","APH","136559910912","111.85","United States"
"140","KKR & Co.","KKR","136273125376","147.24","United States"
"141","TotalEnergies","TTE","135162413056","61.66","France"
"142","BYD","002594.SZ","133722012313","14.8801","China"
"143","Lam Research","LRCX","133244469248","105.28","United States"
"144","Hitachi","6501.T","132867025897","29.1498","Japan"
"145","Union Pacific Corporation","UNP","129757151232","218.8","United States"
"146","Bharti Airtel","BHARTIARTL.NS","127968428751","21.3414","India"
"147","British American Tobacco","BTI","126677991424","57.92","United Kingdom"
"148","Toronto Dominion Bank","TD","126218436608","73.21","Canada"
"149","Tata Consultancy Services","TCS.NS","125401878571","34.6597","India"
"150","UBS","UBS","125341065216","39.55","Switzerland"
"151","Rolls-Royce Holdings","RR.L","123952265189","14.8732","United Kingdom"
"152","UniCredit","UCG.MI","123800709648","80.1777","Italy"
"153","KLA","KLAC","123453480960","935.53","United States"
"154","Iberdrola","IBE.MC","123145158156","18.4315","Spain"
"155","ABB","ABBN.SW","123005243381","67.4522","Switzerland"
"156","Automatic Data Processing","ADP","121363038208","299.63","United States"
"157","Foxconn Industrial Internet","601138.SS","120826662756","6.08407","China"
"158","Anheuser-Busch Inbev","BUD","119899586560","61.39","Belgium"
"159","MercadoLibre","MELI","119180976128","2350.83","Argentina"
"160","CNOOC","0883.HK","118815221156","2.42169","China"
"161","Comcast","CMCSA","118519930880","32.1","United States"
"162","ConocoPhillips","COP","118137233408","94.59","United States"
"163","Medtronic","MDT","117978423296","92.08","Ireland"
"164","Air Liquide","AI.PA","117867206512","204.395","France"
"165","Sanofi","SNY","117192032256","48.05","France"
"166","Palo Alto Networks","PANW","117155971072","175.4","United States"
"167","ICICI Bank","IBN","116226834432","32.56","India"
"168","Synopsys","SNPS","115800530944","625.8","United States"
"169","Analog Devices","ADI","115149381632","232.04","United States"
